filepath,grade,title,url
card_grader/image_process/images/10_PSA_10_GEM_MINT_Cresselia_071_064_Shrouded_Fable_I.jpg,10,PSA 10 GEM MINT Cresselia 071/064 Shrouded Fable IR Holo Pokemon Card,https://www.ebay.com/itm/396669386692?_skw=psa+pokemon+card&hash=item5c5b567fc4:g:Su4AAOSwpnpoOIsJ&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fqSMGPJJ3u51fXeUxATjdoi9NYHpfT2kPnIJHF2PpmsqAqOWr9UqhjLtE6oGoqAPLeqVNEZRkfjmomXr%2F79qqmPq8fUZ4%2BjWK%2FLIRv8kb8%2BcapNlB%2Fbb%2FdIVlwupE6KtCvFduB1QWPf19dPWYdOL1VvfkDt03ClfX5WT12OAu1bXQG9TbaS3ZcoyezW2ERhWd0HhHSf2TtdcMW9HJUm28ad%2BmXjIGgfzxLaDAe4h8DxdK6zrqTv62pPld029AKEuo%3D%7Ctkp%3ABk9SR6LkvM7jZQ
card_grader/image_process/images/10_PSA_10_GEM_MINT_Articuno_AR_102_100_Pokemon_JP_Bat.jpg,10,PSA 10 GEM MINT Articuno AR 102/100 Pokemon JP Battle Partners Sv9,https://www.ebay.com/itm/226765207530?_skw=psa+pokemon+card&epid=4074590042&hash=item34cc4277ea:g:4lYAAOSwBnVoLPMz&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cQclYQJqJDG%2BorvahcHNXaWHrGF5g7EtLd9bs18MMdTyOpCP3buliV4fK6sV3l4pU06AbzEGRNIgwUjv9UXkWzEj%2BnBks6GIBUdHc8860y8TNoYhmj%2FKX7An8h7b6qpfRqo%2FmV71FPLqU4xER%2B3IwswFvDu4YdwFvaZAQld4joxX8U2uvbdEPaDweh9TXjVDIaERHID8aMQTNEVuB7igvdDnmrDwPj4uULM9ukxsSOOHQPk0O%2B1flYGmZjcUsvQJk%3D%7Ctkp%3ABk9SR6LkvM7jZQ
card_grader/image_process/images/10_PSA_10_ALL_GEM_MINT_Graded_Pokemon_Card_Mystery_Sl.jpg,10,PSA 10 ALL GEM MINT Graded Pokemon Card Mystery Slab Bag Vintage & Modern,https://www.ebay.com/itm/225906863951?_skw=psa+pokemon+card&hash=item3499192f4f:g:GbkAAOSwvmllchYa&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1czFNwebyTNX%2BrhTMXcSebGxqMnimO9zb6n2n8quvLgY6PQwbxUOrxoyYpNXywpVqhPh1hax5KwN69z7a1UPydnRO0QSophi99xDpA03Iwlm%2BH8nskUrM673--cKgsy6mv11kz9s2jHNmCCttDSJ0NhbEHT5PwMjv1INqqLR3eaCaBw%2BmNEMjxZrpTh%2FLoqpXWvgJDyAdJXbOcnDDgGD4icFldg0qBd99%2FvQZYctS8bCwoodLE8ZzN1%2FkAZsBF%2BRrd3HhcegGXQ8oCEq9MZPCGt7%2FQpEQSi%2FQeewuRUPkvYJA%3D%3D%7Ctkp%3ABk9SR6LkvM7jZQ
card_grader/image_process/images/9_2024_Pokemon_Shrouded_Fable_131_Kingdra_Black_Star.jpg,9,2024 Pokemon Shrouded Fable 131 Kingdra Black Star Promo PSA 9,https://www.ebay.com/itm/116615736493?_skw=psa+pokemon+card&epid=21071607772&hash=item1b26d6ecad:g:8oMAAOSwN9RoMRGQ&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1diKmVQxGpBSGxogCnYOUwLy2v8NpaDfmmvHfpteQs1coM%2BAVkI%2FccMxJ1Z456qNZFjy6p0nLhy--lsYcciEeZIgIKUXsZmCLf0uzu48LhB0Z6eg44RAhJVUZdYAqpzhV%2BJGIdw2Rkswpxj6ti4So7uXYF%2BEzOAQuawaQ%2FQIlw8INJ%2BqcDpoYzAB%2BQ1oTd2zwjdUcsEzutt2RuHe6OsFlMjmRAHOkmdcvEWRoV7v2w82VGAyVNOMSMHxc5KevfrjfA%3D%7Ctkp%3ABk9SR6LkvM7jZQ
card_grader/image_process/images/9_2017_Pokemon_SM_Black_Star_Promo_SM90_Full_Art_Rai.jpg,9,2017 Pokemon SM Black Star Promo SM90 Full Art Raichu GX PSA 9 Mint,https://www.ebay.com/itm/146417253224?_skw=psa+pokemon+card&epid=25043363872&hash=item221725fb68:g:nYQAAOSwWgdiUVVB&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1f3nKj0wxAnFpqJHFWUyiKgSoEiHTwIvc%2B4l00Ih6eGJjCPGP%2F8Vq%2F2jpVSIxPAglzomhklPUXqwEtc1xEIQl%2BF8EwgHrCmWZrU3ni0TrIfzQ2WfuaO4MQda8oBNo%2Bg5g4EoHt2pVZ5jIBtOsORYsasQogdyj7FCYOK4fqRHm3WtA%2BKEfoRiJ3Tumh3X3UGlAWrcO%2F7UWnMJQ8DOzGg6vilQHx4U8DVSy16SHyM9nuA1DI9hmlFVqnsIbVNY%2BOEE6g%3D%7Ctkp%3ABk9SR6LkvM7jZQ
card_grader/image_process/images/10_Pokemon_Cards_PSA_10_Persian_075_AR_Night_Wanderer.jpg,10,Pokemon Cards PSA 10 Persian 075 AR Night Wanderer 2024 GEM MINT Japanese,https://www.ebay.com/itm/297336348103?_skw=psa+pokemon+card&epid=9074355529&hash=item453aa09dc7:g:OAgAAOSwp9hoN9Uu&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cR2kSsKhSD9MvVuFP5ghCnFq4w66CASR%2B73gTqXxbKqrm1DO8MtZz%2FBRmyu1JsPJBK1R3M3KBzanIL%2BrPH1ZUrsDeT%2B2G6zWlNgCSlYD54%2BoCNKEq%2BspEPtug5xOBjZJ%2Bb4CDu4mpUrkxhXHZwH4VL1lgQj96otCB4v6jqK1x6pj8aDjd7%2FaFu1ogeJmAlVE524chcw%2BEaapwkjPTtZez%2FP4c4ZJvBwX2mfmggQs6wnLlD1uLcNyilkn%2Bl4fmtKXpeQTM5l5iLirTE8orN7HhP9nx0T7HxK0ffSOAXxQQ%2BYQ%3D%3D%7Ctkp%3ABk9SR6LkvM7jZQ
card_grader/image_process/images/10_PSA_10_Alakazam_ex_203_165_Alt_Art_SAR_151_Japanes.jpg,10,PSA 10 Alakazam ex 203/165 Alt Art SAR 151 Japanese Pokemon Card,https://www.ebay.com/itm/356994982480?_skw=psa+pokemon+card&hash=item531e8f2250:g:zp0AAeSw3DhoOGs5&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fERVF9UsocACU%2Bkg2BqysrTaJu8UpPUob1A8r%2F5Gmnlr%2FiJy5gNoxNj7lY0QyA1gtVVrGqOEb7Jj0hxBhUYO6v%2FcLEfYMnNVgb6zAfpbGoQ4YT%2FaBKCvRrDOTvd8tU7AeuJ0VO2rv4%2FQuXEOjovBAwySeYJBPFSiqfO2LO7DcTxhS9FgZDI9Y%2FuxMPRRIlXQBwLRXTh%2BVkuI2OBLecR3yVITQYaxkb3RwvD4zqMljzvWijdJmJ3NWPqG%2FUkYvFR2O3KjHsllA5J1r%2FD6I0GJO%2FR7pCWxglGdvMDfgMQLB9Pw%3D%3D%7Ctkp%3ABFBMzuS8zuNl
card_grader/image_process/images/10_PSA_10_Nagaba_Pikachu_208_S_P_Promo_Japanese_Pokem.jpg,10,PSA 10 Nagaba Pikachu 208/S-P Promo Japanese Pokemon Card 2021 Yu PCG Campaign,https://www.ebay.com/itm/155735705638?_skw=psa+pokemon+card&epid=18058547073&hash=item2442924826:g:168AAOSwMNtk543M&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1clmwR6ZfEnO1NZZG7OUjfXoc57A%2BLIX1XDSH5LnVBvrzq7SOI5Dj454mIWsDls3M%2F96yO2NNMmhgQX4nARluERebUiGo19pxwsFTYyXbgnyz3WYWy1lbwzgLLPQWb%2BgXYXmrZTdvTO3Y3Guzv0isxjbiuUIKi%2Fw602mF1XhP6zo2XWP56nGNFnlsPxfyQF5RdgpKyJqMPgFRzcBr6WOZ0hCkJiLYo11VYlfSbF8YFSYFgjo0ToRSi2HXZyoNKcEKIdkGC%2B156c3LbrCbNNHc2xGAUVaKUFBiY1ifU8xXZAdQ%3D%3D%7Ctkp%3ABFBMzuS8zuNl
card_grader/image_process/images/6_2002_POKEMON_SEADRA_REVERSE_FOIL_LEGENDARY_COLLECT.jpg,6,2002 POKEMON SEADRA REVERSE FOIL LEGENDARY COLLECTION 63/110 PSA 6,https://www.ebay.com/itm/335984990414?_skw=psa+pokemon+card&hash=item4e3a4418ce:g:RMEAAOSwXsJoOFDp&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fXqJ08Ex3zCbu3sBklpx87y0i3ZvNX%2Bl4OtTwy%2FlyNdJVggaN3%2FTmINnY%2BKZ4cVjiQ7XMHPzkdpUeRWLXKp23OFp3WodjTIFEf94%2FtwH2qm3t57TfDk2nRDQBKi5oKlJ6FUKrWHs8r9kA7qm8NMlcTcWNdK49f1bmIoj%2BdWLi7RJJ02ZfY6sbQHD0Sfc%2F3wK3QVN9obNGNoBg%2FAZ3yC5gCaGTQ9DtB1pkXcwpcIc8bgyKaUAPRuiZU2b8GfzLtRpsreJrKyST%2BUmmGaQhxdcCCg73xSQj88A6cWW5cXQ%2B%2B9Q%3D%3D%7Ctkp%3ABFBMzuS8zuNl
card_grader/image_process/images/10_Pokemon_TCG_Maushold_081_Japanese_Art_Rare_PSA_10.jpg,10,Pokemon TCG Maushold #081 Japanese Art Rare PSA 10,https://www.ebay.com/itm/135779689672?_skw=psa+pokemon+card&epid=20074361773&hash=item1f9d19a4c8:g:7pYAAOSwr79oOFry&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dpuDuwQg8FvzP4Ugp9pAICk2IATixigqrHsB0KvY%2FZr0e%2BiJifhI1gOTTlgR6hkkYggZmt%2B3zISx0y0wda8eZ9FzE%2FpEnLXSjm8pa34wB%2BJuomdoTCWSytY5zdmCxfL1Z1RvMRWtzRkfc7Tf2FRCgYFxN%2FKfFfTxp4n8aGW4TfrOgokyFezq7jyigwi2pkYU2lnJ3j%2FEh6ZO1FBKf5t%2FmU7MIjAfN3TFWX%2F5WWX4Q3GsxSxCVGhWQCv4APBqS3FdnumMizU5rRUTHuMgZWyc8azqbrnGKYq4DqYgYEyHHB6g%3D%3D%7Ctkp%3ABFBMzuS8zuNl
card_grader/image_process/images/10_PSA_10_Gem_Mint_Pikachu_SVP027_Paldea_Evolved_ETB_.jpg,10,PSA 10 Gem Mint Pikachu SVP027 Paldea Evolved ETB Black Star Promo,https://www.ebay.com/itm/177061730452?_skw=psa+pokemon+card&hash=item2939b39894:g:VtEAAOSwXwloFP0S&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dbBDVkERsTHxdajsg0bjfgUtqXWBpIb2GFmaW21o85PS4aFN6cuFoTn6UA0Z30Lo%2BDvnzxtDHmoA%2FpofNwWMmNenNKgpo0oSHyV%2F8wMO1QGIOW1M%2FsVVYn%2BiZG8d5vPwTVgQsA4nsCH7%2FMuKUELJmIs9Mv7nEpi0F4oAiq5q60pEVgnwNFInT7RqPX3d7H%2F3ZopM4quv3gkTb5rk27Fg6eglL4zYSGG4dCZ5R%2BcRLb9%2FQhmxcy01h0E%2BwLPaPEOmAJuB0nWTIMekjhxZuoZ15LZAqcGS93Fhk7ETgWWtKptw%3D%3D%7Ctkp%3ABFBMzuS8zuNl
